description,category,priority
"The bulb in corridor 3A is fused.",Electrical,Low
"The toilet flush in washroom 1C is jammed.",Plumbing,Medium
"The cupboard handle in library is missing.",Carpentry,Low
"The internet in seminar hall drops frequently.",IT,Medium
"The fan regulator in classroom 209 is broken.",Electrical,Low
"The sink in hostel washroom 5A is dripping.",Plumbing,Medium
"The table in classroom 402 is uneven.",Carpentry,Low
"The Wi-Fi router near canteen stops working.",IT,Medium
"The main light in lab 5 is flickering.",Electrical,Medium
"The toilet in ground floor washroom is blocked.",Plumbing,High
"The shelf in staff room is bent.",Carpentry,Low
"The computer in IT lab 10 is not booting.",IT,High
"The fan in classroom 407 stopped working.",Electrical,Medium
"The shower knob in washroom 3B is loose.",Plumbing,Medium
"The door in staff office is misaligned.",Carpentry,Low
"The internet in library is very slow.",IT,Low
"The switchboard near lab 1 is heating up.",Electrical,High
"The drain near hostel block B is blocked.",Plumbing,High
"The table in study area wobbles.",Carpentry,Low
"The network in conference hall disconnects often.",IT,Medium
"The light fixture near staircase 3 is not working.",Electrical,Medium
"The faucet in washroom 4B drips slightly.",Plumbing,Low
"The chair in classroom 203 wobbles.",Carpentry,Low
"The LAN cable in lab 10 is unplugged.",IT,Medium
"The power outlet near admin desk sparks.",Electrical,High
"The wash basin pipe in hostel washroom is leaking.",Plumbing,Medium
"The cupboard drawer in staff room 2B is jammed.",Carpentry,Low
"The desktop in library keeps rebooting.",IT,Medium
"The fan in staff room 4C is noisy.",Electrical,Low
"The water heater in washroom 2C isn’t heating.",Plumbing,Medium
"The window frame in hostel room 106 is cracked.",Carpentry,Low
"The router in corridor 5 keeps restarting.",IT,Medium
"The ceiling light in lab 3 has fused.",Electrical,Low
"The sink pipe near pantry is leaking.",Plumbing,High
"The wooden rack in classroom 3B is loose.",Carpentry,Low
"The server in IT block shuts down frequently.",IT,High
"The main switch in block D stopped working.",Electrical,High
"The toilet flush in staff washroom 4A is broken.",Plumbing,Medium
"The classroom cupboard is misaligned.",Carpentry,Low
"The computer in exam room 2 is not booting.",IT,High
"The fan in auditorium vibrates heavily.",Electrical,Medium
"The kitchen tap has very low water pressure.",Plumbing,Low
"The wooden door frame in corridor 6B is cracked.",Carpentry,Medium
"The laptop in IT office isn’t charging.",IT,High
"The light near block C elevator is fused.",Electrical,Low
"The sink in hostel washroom 3D is clogged.",Plumbing,High
"The drawer in staff room 3B doesn’t close properly.",Carpentry,Low
"The system in admin block 3 shows errors frequently.",IT,Medium
"The switch near classroom 111 isn’t working.",Electrical,Low
"The toilet pipe in washroom 2B is leaking badly.",Plumbing,High
"The bench in classroom 304 is cracked.",Carpentry,Low
"The network in staff room 3 disconnects randomly.",IT,Medium
"The ceiling fan in classroom 312 is making noise.",Electrical,Low
"The faucet in washroom 6A drips constantly.",Plumbing,Medium
"The cupboard door in lab 7 is off its hinges.",Carpentry,Medium
"The desktop in IT lab 15 keeps freezing.",IT,High
"The corridor light in block G flickers occasionally.",Electrical,Medium
"The toilet flush in ground floor washroom is leaking.",Plumbing,High
"The library table near window is broken.",Carpentry,Low
"The Wi-Fi in seminar room disconnects frequently.",IT,Medium
"The power socket in staff lounge sparks while in use.",Electrical,High
"The sink in hostel washroom 6B is blocked.",Plumbing,High
"The shelf in classroom 310 is coming loose.",Carpentry,Low
"The computer in lab 13 is not connecting to network.",IT,High
"The ceiling light near corridor 2B is fused.",Electrical,Low
"The water tap in pantry leaks heavily.",Plumbing,Medium
"The classroom chair in room 408 has a cracked seat.",Carpentry,Low
"The internet connection in IT office is intermittent.",IT,Medium
"The switchboard in auditorium lobby is sparking.",Electrical,High
"The main pipeline in kitchen is leaking.",Plumbing,High
"The cupboard in staff room 5 has a broken hinge.",Carpentry,Low
"The server in IT block is slow to respond.",IT,High
"The corridor bulb in block D went out.",Electrical,Low
"The toilet in floor 3 washroom has low water pressure.",Plumbing,Medium
"The desk in hostel room 107 is unstable.",Carpentry,Low
"The network printer in lab 8 isn’t responding.",IT,Medium
"The fan in classroom 215 is noisy.",Electrical,Low
"The shower in hostel bathroom 2B is dripping.",Plumbing,Medium
"The shelf in library near main entrance is broken.",Carpentry,Low
"The router in corridor F disconnects frequently.",IT,Medium
"The tube light in staff room is flickering.",Electrical,Low
"The drain pipe in mess area is blocked.",Plumbing,High
"The cupboard handle in lab 6 is loose.",Carpentry,Low
"The desktop in IT lab 11 keeps restarting.",IT,High
"The light switch near classroom 115 isn’t working.",Electrical,Medium
"The faucet in hostel washroom 5C drips.",Plumbing,Medium
"The chair in conference hall has a broken armrest.",Carpentry,Low
"The Wi-Fi in admin section is unstable.",IT,Medium
"The main power switch in corridor B trips frequently.",Electrical,High
"The water outlet near lab 4 is leaking.",Plumbing,Medium
"The wooden rack in staff storage is loose.",Carpentry,Low
"The LAN connection in lab 12 keeps dropping.",IT,Medium
"The fan in classroom 412 rotates slowly.",Electrical,Low
"The tap in washroom 3A drips constantly.",Plumbing,Medium
"The desk drawer in library section 4 is jammed.",Carpentry,Low
"The computer in IT office 3 shuts down randomly.",IT,High
"The corridor light in block H is flickering.",Electrical,Medium
"The kitchen drain pipe is clogged.",Plumbing,High
"The cupboard hinge in classroom 315 is broken.",Carpentry,Low
"The network printer in staff lounge isn’t working.",IT,Medium
"The switch near hostel entrance sparks sometimes.",Electrical,High
"The water supply in bathroom 4C is irregular.",Plumbing,Medium
"The chair in study hall has a broken leg.",Carpentry,Low
"The system in IT lab 9 overheats frequently.",IT,High
"The bulb in corridor 4B is fused.",Electrical,Low
"The toilet flush in washroom 3D is jammed.",Plumbing,Medium
"The cupboard handle in library is missing.",Carpentry,Low
"The internet in seminar room drops frequently.",IT,Medium
"The fan regulator in classroom 217 is broken.",Electrical,Low
"The sink in hostel washroom 6C is dripping.",Plumbing,Medium
"The table in classroom 409 is uneven.",Carpentry,Low
"The Wi-Fi router near cafeteria stops working.",IT,Medium
"The main light in lab 6 is flickering.",Electrical,Medium
"The toilet in ground floor washroom is blocked.",Plumbing,High
"The shelf in staff room 6 is bent.",Carpentry,Low
"The computer in IT lab 14 is not booting.",IT,High
"The fan in classroom 418 stopped working.",Electrical,Medium
"The shower knob in washroom 5A is loose.",Plumbing,Medium
"The door in staff office is misaligned.",Carpentry,Low
"The internet in library is very slow.",IT,Low
"The switchboard near lab 2 is heating up.",Electrical,High
"The drain near hostel block C is blocked.",Plumbing,High
"The table in study area wobbles.",Carpentry,Low
"The network in conference hall disconnects often.",IT,Medium
"The light fixture near staircase 4 is not working.",Electrical,Medium
"The faucet in washroom 5B drips slightly.",Plumbing,Low
"The chair in classroom 208 wobbles.",Carpentry,Low
"The LAN cable in lab 11 is unplugged.",IT,Medium
"The power outlet near admin desk sparks.",Electrical,High
"The wash basin pipe in hostel washroom is leaking.",Plumbing,Medium
"The cupboard drawer in staff room 3C is jammed.",Carpentry,Low
"The desktop in library keeps rebooting.",IT,Medium
"The fan in staff room 5A is noisy.",Electrical,Low
"The water heater in washroom 3B isn’t heating.",Plumbing,Medium
"The window frame in hostel room 108 is cracked.",Carpentry,Low
"The router in corridor 6 keeps restarting.",IT,Medium
"The ceiling light in lab 4 has fused.",Electrical,Low
"The sink pipe near pantry is leaking.",Plumbing,High
"The wooden rack in classroom 4C is loose.",Carpentry,Low
"The server in IT block shuts down frequently.",IT,High
"The main switch in block E stopped working.",Electrical,High
"The toilet flush in staff washroom 5B is broken.",Plumbing,Medium
"The classroom cupboard is misaligned.",Carpentry,Low
"The computer in exam room 3 is not booting.",IT,High
"The fan in auditorium vibrates heavily.",Electrical,Medium
"The kitchen tap has very low water pressure.",Plumbing,Low
"The wooden door frame in corridor 7B is cracked.",Carpentry,Medium
"The laptop in IT office isn’t charging.",IT,High
"The light near block D elevator is fused.",Electrical,Low
"The sink in hostel washroom 6D is clogged.",Plumbing,High
"The drawer in staff room 4B doesn’t close properly.",Carpentry,Low
"The system in admin block 4 shows errors frequently.",IT,Medium
"The switch near classroom 112 isn’t working.",Electrical,Low
"The toilet pipe in washroom 3B is leaking badly.",Plumbing,High
"The bench in classroom 405 is cracked.",Carpentry,Low
"The network in staff room 4 disconnects randomly.",IT,Medium

